time_s,current_A,soc,ocv_V,v_rc_V,v_terminal_V
0.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000222e-01,4.021221474770753090e+00,0.000000000000000000e+00,4.021221474770753090e+00
1.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000222e-01,4.021221474770753090e+00,0.000000000000000000e+00,4.021221474770753090e+00
2.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000222e-01,4.021221474770753090e+00,0.000000000000000000e+00,4.021221474770753090e+00
3.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000222e-01,4.021221474770753090e+00,0.000000000000000000e+00,4.021221474770753090e+00
4.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000222e-01,4.021221474770753090e+00,0.000000000000000000e+00,4.021221474770753090e+00
5.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000222e-01,4.021221474770753090e+00,0.000000000000000000e+00,4.021221474770753090e+00
6.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000222e-01,4.021221474770753090e+00,0.000000000000000000e+00,4.021221474770753090e+00
7.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000222e-01,4.021221474770753090e+00,0.000000000000000000e+00,4.021221474770753090e+00
8.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000222e-01,4.021221474770753090e+00,0.000000000000000000e+00,4.021221474770753090e+00
9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000222e-01,4.021221474770753090e+00,0.000000000000000000e+00,4.021221474770753090e+00
1.000000000000000000e+01,0.000000000000000000e+00,9.000000000000000222e-01,4.021221474770753090e+00,0.000000000000000000e+00,4.021221474770753090e+00
1.100000000000000000e+01,0.000000000000000000e+00,9.000000000000000222e-01,4.021221474770753090e+00,0.000000000000000000e+00,4.021221474770753090e+00
1.200000000000000000e+01,0.000000000000000000e+00,9.000000000000000222e-01,4.021221474770753090e+00,0.000000000000000000e+00,4.021221474770753090e+00
1.300000000000000000e+01,0.000000000000000000e+00,9.000000000000000222e-01,4.021221474770753090e+00,0.000000000000000000e+00,4.021221474770753090e+00
1.400000000000000000e+01,0.000000000000000000e+00,9.000000000000000222e-01,4.021221474770753090e+00,0.000000000000000000e+00,4.021221474770753090e+00
1.500000000000000000e+01,0.000000000000000000e+00,9.000000000000000222e-01,4.021221474770753090e+00,0.000000000000000000e+00,4.021221474770753090e+00
1.600000000000000000e+01,0.000000000000000000e+00,9.000000000000000222e-01,4.021221474770753090e+00,0.000000000000000000e+00,4.021221474770753090e+00
1.700000000000000000e+01,0.000000000000000000e+00,9.000000000000000222e-01,4.021221474770753090e+00,0.000000000000000000e+00,4.021221474770753090e+00
1.800000000000000000e+01,0.000000000000000000e+00,9.000000000000000222e-01,4.021221474770753090e+00,0.000000000000000000e+00,4.021221474770753090e+00
