time_s,current_A,soc_true,soc_ekf,ocv_V,v_rc_V,v_terminal_V
9.560000000000000000e+02,2.500000000000000000e+00,8.076086956521849602e-01,7.734373985046331113e-01,3.875610194252129492e+00,4.881823721337416599e-02,3.701791957038755410e+00
9.570000000000000000e+02,2.500000000000000000e+00,8.073067632850352560e-01,7.730595636135989546e-01,3.875180864949914206e+00,4.884741504053760619e-02,3.701333449909376405e+00
9.580000000000000000e+02,2.500000000000000000e+00,8.070048309178855517e-01,7.726826452328459105e-01,3.874751872465968638e+00,4.887587246458155454e-02,3.700876000001386945e+00
9.590000000000000000e+02,2.500000000000000000e+00,8.067028985507358474e-01,7.723066221140136856e-01,3.874323217040250178e+00,4.890362727232241274e-02,3.700419589767927953e+00
9.600000000000000000e+02,2.500000000000000000e+00,8.064009661835861431e-01,7.719314734351402363e-01,3.873894898911502072e+00,4.893069681141851146e-02,3.699964202100083366e+00
9.610000000000000000e+02,2.500000000000000000e+00,8.060990338164364388e-01,7.715571787931949643e-01,3.873466918317254759e+00,4.895709800121297861e-02,3.699509820316041697e+00
9.620000000000000000e+02,2.500000000000000000e+00,8.057971014492867345e-01,7.711837181966934018e-01,3.873039275493822764e+00,4.898284734330886347e-02,3.699056428150513831e+00
9.630000000000000000e+02,2.500000000000000000e+00,8.054951690821370303e-01,7.708110720583817299e-01,3.872611970676305582e+00,4.900796093188318492e-02,3.698604009744422605e+00
9.640000000000000000e+02,2.500000000000000000e+00,8.051932367149873260e-01,7.704392211880101149e-01,3.872185004098586347e+00,4.903245446374632222e-02,3.698152549634840192e+00
9.650000000000000000e+02,2.500000000000000000e+00,8.048913043478376217e-01,7.700681467851877571e-01,3.871758375993330947e+00,4.905634324815302122e-02,3.697702032745177725e+00
9.660000000000000000e+02,2.500000000000000000e+00,8.045893719806879174e-01,7.696978304323172093e-01,3.871332086591986688e+00,4.907964221637118457e-02,3.697252444375615621e+00
9.670000000000000000e+02,2.500000000000000000e+00,8.042874396135382131e-01,7.693282540876200670e-01,3.870906136124782293e+00,4.910236593101439256e-02,3.696803770193767935e+00
9.680000000000000000e+02,2.500000000000000000e+00,8.039855072463885088e-01,7.689594000782389305e-01,3.870480524820725687e+00,4.912452859514401804e-02,3.696355996225581642e+00
9.690000000000000000e+02,2.500000000000000000e+00,8.036835748792388046e-01,7.685912510934400643e-01,3.870055252907606214e+00,4.914614406114659745e-02,3.695909108846459734e+00
9.700000000000000000e+02,2.500000000000000000e+00,8.033816425120891003e-01,7.682237901778958822e-01,3.869630320611989305e+00,4.916722583939202307e-02,3.695463094772597490e+00
9.710000000000000000e+02,2.500000000000000000e+00,8.030797101449393960e-01,7.678570007250618001e-01,3.869205728159219593e+00,4.918778710667796872e-02,3.695017941052541666e+00
9.720000000000000000e+02,2.500000000000000000e+00,8.027777777777896917e-01,7.674908664706339145e-01,3.868781475773418244e+00,4.920784071446581559e-02,3.694573635058952643e+00
9.730000000000000000e+02,2.500000000000000000e+00,8.024758454106399874e-01,7.671253714861084871e-01,3.868357563677482958e+00,4.922739919691323379e-02,3.694130164480569523e+00
9.740000000000000000e+02,2.500000000000000000e+00,8.021739130434902831e-01,7.667605001724286939e-01,3.867933992093086193e+00,4.924647477870842949e-02,3.693687517314377722e+00
9.750000000000000000e+02,2.500000000000000000e+00,8.018719806763405789e-01,7.663962372537129752e-01,3.867510761240675166e+00,4.926507938271099118e-02,3.693245681857963980e+00
9.760000000000000000e+02,2.500000000000000000e+00,8.015700483091908746e-01,7.660325677710898562e-01,3.867087871339470961e+00,4.928322463740405363e-02,3.692804646702066762e+00
9.770000000000000000e+02,2.500000000000000000e+00,8.012681159420411703e-01,7.656694770766121483e-01,3.866665322607466759e+00,4.930092188416247689e-02,3.692364400723304296e+00
9.780000000000000000e+02,2.500000000000000000e+00,8.009661835748914660e-01,7.653069508272702937e-01,3.866243115261428720e+00,4.931818218434157880e-02,3.691924933077087356e+00
9.790000000000000000e+02,2.500000000000000000e+00,8.006642512077417617e-01,7.649449749790889763e-01,3.865821249516894653e+00,4.933501632619084060e-02,3.691486233190703903e+00
9.800000000000000000e+02,2.500000000000000000e+00,8.003623188405920574e-01,7.645835357813222100e-01,3.865399725588171798e+00,4.935143483159691591e-02,3.691048290756574701e+00
9.810000000000000000e+02,2.500000000000000000e+00,8.000603864734423532e-01,7.642226197707339130e-01,3.864978543688337709e+00,4.936744796266014784e-02,3.690611095725677693e+00
9.820000000000000000e+02,2.500000000000000000e+00,7.997584541062926489e-01,7.638622137659711875e-01,3.864557704029239815e+00,4.938306572810872985e-02,3.690174638301130905e+00
9.830000000000000000e+02,2.500000000000000000e+00,7.994565217391429446e-01,7.635023048620287467e-01,3.864137206821492754e+00,4.939829788955446555e-02,3.689738908931938344e+00
